"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-07","10.51"," 1756","0.00",,"32","12","  310","  300","21.0","25.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-08","8.95"," 1249","0.00",,"35","11","  310","  300","29.1","40.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-09","4.25"," 2356","0.00",,"41","15","  320","  320","17.0","23.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-10","10.29"," 2242","0.15",,"34","28","  340","  350","21.9","38.9","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-11","13.20"," 0054","0.00",,"38","26","  320","  320","25.9","36.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-12","7.61"," 1008","0.00",,"37","13","  320","  330","18.1","25.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-13","9.40"," 2027","0.00",,"32","18","  320","  330","19.9","25.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-14","8.50"," 1315","0.00",,"39","26","  320","  300","21.0","30.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-15","5.82"," 1221","0.00",,"40","29","  300","  310","14.1","19.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-16","7.38"," 2358","0.00",,"31","29","  310","  310","19.9","25.9","    1","    1",,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-17","5.82"," 0139","0.35",,"35","17","  310","  290","19.9","28.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-18","10.07"," 1146","0.06",,"44","31","  300","  290","25.1","36.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-19","9.17"," 1603","0.00",,"43","25","  320","  300","28.0","36.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-20","10.07"," 1012","0.00",,"46","36","  320","  330","19.9","28.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-21","10.29"," 1025","0.00",,"42","24","  310","  300","25.1","36.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-22","4.70"," 1140","0.00",,"47","26","  350","  350","13.0","16.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-23","4.47"," 2111","0.36",,"36","32","   20","   10","12.1","16.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-24","6.26"," 1727","1.22",,"39","33","  360","   10","12.1","16.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-25","6.49"," 2102","1.65",,"45","36","  360","   20","18.1","25.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-26","7.61"," 0234","0.04",,"43","29","  120","  100","21.0","28.0","    1","    1",,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-27","3.58"," 1426","0.09",,"39","28","  180","  140","13.0","16.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-02-28","4.03"," 2358","0.01",,"40","31","  320","  330","14.1","18.1","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-01","15.21"," 1118","0.00",,"50","35","  320","  340","25.9","38.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-02","3.80"," 0331","0.00",,"50","30","  170","  320","12.1","15.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-03","9.84"," 1543","0.11",,"39","33","   10","   10","21.0","30.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-04","9.62"," 0953","0.00",,"48","34","  360","  340","18.1","25.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-05","9.40"," 1013","0.00",,"49","34","   20","   30","17.0","25.1",,,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-06","9.17"," 1655","0.00",,"56","29","  320","  320","19.9","25.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-07","5.59"," 1540","0.00",,"58","26","  320","  320","23.0","28.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-08","4.70"," 1400","0.00",,"60","26","  330","  340","21.0","30.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-09","4.92"," 1443","0.00",,"57","29","  330","  320","21.9","32.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-10","2.91"," 1528","0.00",,"59","28","  180","  190","14.1","17.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-11","4.47"," 1204","0.00",,"53","38","  110","  130","13.0","16.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-12","6.49"," 1553","0.08",,"52","39","   40","   90","14.1","21.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-13","12.30"," 2337","2.06",,"45","37","   50","   20","23.9","38.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-14","12.75"," 0238","0.56",,"49","42","   20","   40","21.0","31.1","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-15","13.65"," 1845","0.30",,"44","40","   30","   20","21.0","31.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-16","6.93"," 1130","0.00",,"62","32","  360","  360","17.0","25.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-17","2.24"," 1255","0.00",,"67","27","  320","  270","14.1","18.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-18","3.13"," 1154","0.00",,"68","30","  310","  320","17.0","23.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-19","3.58"," 1244","0.00",,"70","33","  180","  150","16.1","21.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-20","3.80"," 1323","0.00",,"74","35","  280","  290","15.0","21.9",,,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-21","4.47"," 1417","0.00",,"68","42","  160","  180","13.0","18.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-22","3.13"," 2357","0.92",,"55","43","   60","   20","14.1","19.9","    1","    1",,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-23","6.26"," 2246","1.13",,"48","43","  310","  290","15.0","25.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-24","14.54"," 1644","0.00",,"59","35","  330","  330","30.0","40.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-25","5.59"," 1533","0.00",,"63","28","  170","  170","21.0","28.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-26","10.29"," 0900","0.17",,"49","31","   20","   10","21.0","33.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-27","6.93"," 0218","0.00",,"43","25","  360","  350","16.1","23.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-28","7.38"," 2344","0.04",,"48","26","  180","  150","17.0","23.9","    1",,,
